Dataset,Z-Time-AVG,Z-Time-BEST,MR-PETSC-AVG,MR-PETSC-BEST,MR-SEQL
ACSF1,80.60,84.00,77.20,82.00,71.00
Adiac,79.20,81.70,64.40,68.80,73.90
ArrowHead,76.84,79.43,75.77,84.00,75.40
Beef,80.00,83.33,74.00,76.67,60.00
BeetleFly,84.00,95.00,83.00,100.00,85.00
BirdChicken,86.00,90.00,84.00,90.00,90.00
BME,99.73,100.00,82.40,92.00,90.00
Car,85.33,86.67,85.67,91.70,85.00
CBF,98.04,99.78,99.27,98.70,99.90
Chinatown,96.50,97.08,91.37,95.34,95.04
ChlorineConcentration,71.64,72.01,65.10,65.70,71.80
CinCECGtorso,94.65,95.07,90.16,95.10,84.60
Coffee,98.57,100.00,92.86,100.00,100.00
Computers,74.88,78.80,66.24,73.20,71.60
CricketX,67.03,69.23,70.87,69.70,76.90
CricketY,72.92,77.69,69.49,70.30,79.20
CricketZ,73.44,75.30,70.67,75.10,76.40
Crop,61.44,67.14,60.52,61.44,64.17
DiatomSizeReduction,94.97,96.08,86.73,97.70,94.10
DistalPhalanxOutlineAgeGroup,77.54,78.26,73.26,74.60,77.20
DistalPhalanxOutlineCorrect,76.66,77.70,69.35,71.90,74.80
DistalPhalanxTW,68.63,68.35,63.02,65.50,67.60
Earthquakes,74.82,74.82,70.50,77.00,73.40
ECG200,85.00,87.00,84.40,86.00,85.00
ECG5000,94.06,94.36,93.37,93.50,94.30
ECGFiveDays,85.76,87.57,96.86,97.77,100.00
ElectricDevices,71.65,71.71,70.80,70.80,69.60
EOGHorizontalSignal,48.40,49.17,47.96,55.25,62.98
EOGVerticalSignal,43.26,45.03,45.52,46.41,51.66
EthanolLevel,57.16,57.60,52.92,54.20,64.80
FaceAll,82.22,85.92,78.13,78.20,78.00
FaceFour,95.45,100.00,91.14,100.00,100.00
FacesUCR,87.47,88.34,85.80,89.40,92.90
FiftyWords,68.04,68.13,57.49,64.60,71.60
Fish,96.34,97.14,96.23,97.14,96.60
FordA,87.26,87.95,91.26,91.30,94.50
FordB,70.89,72.96,76.30,76.30,0.00
FreezerRegularTrain,96.89,98.63,92.37,93.57,99.75
FreezerSmallTrain,86.61,91.72,98.51,99.72,99.65
GunPoint,99.33,99.33,97.20,98.70,98.70
GunPointAgeSpan,99.56,100.00,97.66,99.37,99.05
GunPointMaleVersusFemale,99.43,99.68,99.43,100.00,98.73
GunPointOldVersusYoung,98.98,99.37,94.35,96.19,96.83
Ham,72.76,75.24,70.48,78.10,74.30
HandOutlines,90.76,91.60,,,90.76
Haptics,49.22,50.64,50.60,50.84,51.00
Herring,62.50,67.19,70.31,70.31,59.40
HouseTwenty,95.63,98.32,93.11,94.12,89.92
InlineSkate,37.56,39.09,30.55,39.60,44.50
InsectEPGRegularTrain,96.95,99.60,98.31,99.60,97.59
InsectEPGSmallTrain,90.44,92.37,92.37,93.57,89.56
InsectWingbeatSound,64.33,64.70,54.54,55.90,59.90
ItalyPowerDemand,94.58,95.34,83.69,91.00,90.70
LargeKitchenAppliances,88.11,87.20,89.33,89.90,87.20
Lightning2,77.38,85.24,81.64,86.89,72.10
Lightning7,74.52,80.82,72.60,80.80,79.50
Mallat,95.57,98.34,91.27,93.50,93.80
Meat,92.67,96.66,88.33,91.70,91.70
MedicalImages,72.95,73.29,59.16,63.30,70.10
MiddlePhalanxOutlineAgeGroup,81.17,82.13,75.12,77.00,77.70
MiddlePhalanxOutlineCorrect,60.91,63.64,51.82,55.80,51.90
MiddlePhalanxTW,59.22,61.04,49.74,57.10,53.20
MixedShapesRegularTrain,96.77,97.15,94.41,95.22,96.29
MixedShapesSmallTrain,90.29,92.33,90.41,92.70,90.27
MoteStrain,89.44,92.97,84.36,91.00,91.10
NonInvasiveFatalECGThorax1,88.04,88.54,,,92.70
NonInvasiveFatalECGThorax2,91.45,92.23,,,94.60
OliveOil,88.67,93.33,92.67,96.67,86.70
OSULeaf,90.08,91.74,94.71,95.00,94.20
PhalangesOutlinesCorrect,78.32,79.37,73.20,74.13,78.40
Phoneme,32.37,33.80,24.41,24.50,27.60
PigAirwayPressure,31.06,70.67,94.81,97.60,58.65
PigArtPressure,8.94,9.13,98.56,99.04,90.38
PigCVP,10.10,12.02,93.75,94.71,70.67
Plane,99.43,100.00,99.43,100.00,100.00
PowerCons,94.33,96.67,84.78,86.11,87.78
ProximalPhalanxOutlineAgeGroup,86.67,88.32,80.76,85.20,86.60
ProximalPhalanxOutlineCorrect,86.24,86.83,77.46,83.90,82.00
ProximalPhalanxTW,79.90,80.48,73.95,80.00,81.50
RefrigerationDevices,59.41,60.53,49.76,54.70,61.60
Rock,82.40,88.00,82.80,90.00,82.00
ScreenType,52.69,54.90,51.36,55.70,55.20
SemgHandGenderCh2,88.67,90.00,79.53,81.33,84.00
SemgHandMovementCh2,62.40,64.22,51.29,56.00,63.77
SemgHandSubjectCh2,93.40,94.67,80.98,82.67,88.20
ShapeletSim,99.78,100.00,99.56,100.00,100.00
ShapesAll,81.30,81.66,79.77,83.00,92.80
SmallKitchenAppliances,80.88,82.00,81.39,84.00,83.70
SmoothSubspace,97.47,98.00,,,80.00
SonyAIBORobotSurface1,83.76,89.85,84.86,92.30,89.40
SonyAIBORobotSurface2,87.70,91.50,79.75,90.50,94.80
StarlightCurves,97.74,97.83,,,98.00
Strawberry,97.03,98.10,96.32,96.49,97.00
SwedishLeaf,92.90,94.24,87.23,90.90,94.20
Symbols,91.44,93.76,94.71,97.60,96.30
SyntheticControl,98.74,99.03,96.00,95.30,95.70
ToeSegmentation1,88.95,89.91,94.30,96.50,95.60
ToeSegmentation2,81.08,83.08,91.08,93.08,90.80
Trace,99.80,100.00,99.80,100.00,100.00
TwoLeadECG,97.63,98.86,96.89,99.70,99.60
TwoPatterns,99.47,99.75,96.83,98.70,99.80
UMD,96.53,98.61,96.81,97.92,93.75
UWaveGestureLibraryAll,72.00,72.40,68.14,72.40,75.90
UWaveGestureLibraryX,94.48,94.70,90.70,90.70,91.90
UWaveGestureLibraryY,81.50,82.60,74.06,78.90,80.70
UWaveGestureLibraryZ,68.20,70.74,64.09,68.20,71.10
Wafer,99.98,99.98,99.22,99.70,99.70
Wine,77.41,83.33,72.96,83.30,79.60
WordSynonyms,59.75,63.32,54.36,53.80,62.90
Worms,69.35,70.12,69.09,74.00,55.80
WormsTwoClass,77.92,80.50,76.36,80.50,76.20
Yoga,84.77,84.93,82.41,82.90,89.60
