Dataset,ROCKET,MR-SEQL,Z-Time,MR-PETSC
ACSF1,37.35,218.79,56.81,210.25
Adiac,17.38,167.67,8.51,29.19
ArrowHead,6.66,6.46,3.59,9.65
Beef,3.77,17.03,1.99,4.91
BeetleFly,2.84,2.33,1.51,8.18
BirdChicken,2.83,2.42,1.39,9.33
BME,3.08,2.76,2.26,8.88
Car,8.85,20.68,2.4,19.42
CBF,14.38,3.07,23.89,24.54
Chinatown,1.47,0.28,1.79,0.64
ChlorineConcentration,86.43,391.79,115.92,182.35
CinCECGTorso,281.34,170.58,130,1324.1
Coffee,2.27,1.99,1.21,7.28
Computers,44.89,46.3,21.19,102.94
CricketX,29.14,159.46,26.95,64.96
CricketY,28.99,157.8,27.01,64.58
CricketZ,29.08,163.84,26.86,67.97
Crop,203.98,575.78,421.04,152.35
DiatomSizeReduction,13.63,4.74,4.26,37.71
DistalPhalanxOutlineAgeGroup,6.07,17.73,5.28,5.92
DistalPhalanxOutlineCorrect,9.43,22.73,9.19,9
DistalPhalanxTW,6.11,18.35,5.26,6.22
Earthquakes,29.89,64.55,23.03,115.17
ECG200,2.84,2.14,3.06,3.64
ECG5000,84.55,40.8,78.37,194.62
ECGFiveDays,14.53,2.07,13.02,19.77
ElectricDevices,314.04,480.79,386.66,249.12
EOGHorizontalSignal,112.76,622.81,45.82,554.67
EOGVerticalSignal,112.41,663.92,47.96,536.33
EthanolLevel,220.71,1244.09,59.26,1137.75
FaceAll,38.41,75.82,49.25,76.06
FaceFour,5.07,6,4.62,10.08
FacesUCR,35.8,30.19,48.08,83.87
FiftyWords,30.85,321.67,11.95,86.33
Fish,20.48,57.07,6.15,47.91
FordA,319.6,3484.5,332.35,1396.96
FordB,292.98,3573.37,322.81,1227.89
FreezerRegularTrain,108.33,14.57,72.51,296.89
FreezerSmallTrain,104.37,11.09,69.07,285.25
GunPoint,4,1.72,1.96,5.86
GunPointAgeSpan,8.58,3.1,3.96,11.05
GunPointMaleVersusFemale,8.6,2.93,4.04,10.96
GunPointOldVersusYoung,8.55,3.98,3.88,10.69
Ham,11.7,16.91,5.71,20.48
HandOutlines,477.62,1191.64,136.68,
Haptics,62.76,176.17,25.91,378.47
Herring,8.43,12.65,2.79,22.77
HouseTwenty,39.8,33.09,20.33,144.55
InlineSkate,150.81,241.42,75.44,831.21
InsectEPGRegularTrain,22.91,21.73,18.25,53.61
InsectEPGSmallTrain,19.62,9.15,16.17,47.67
InsectWingbeatSound,67.9,80.84,35.52,209.37
ItalyPowerDemand,3.83,0.43,5.79,0.97
LargeKitchenAppliances,67.02,102.5,13.79,131.96
Lightning2,9.84,11.59,6.58,23.44
Lightning7,5.93,19.88,4.71,11.28
Mallat,295.25,137.6,57.07,1786.32
Meat,6.93,14.83,2.83,14.54
MedicalImages,14.27,48.8,9.89,13.31
MiddlePhalanxOutlineAgeGroup,6.18,19.8,5.15,6.36
MiddlePhalanxOutlineCorrect,9.69,38.37,8.74,9.29
MiddlePhalanxTW,6.11,33.52,5.14,7.18
MixedShapesRegularTrain,362.88,403.99,112.65,2405.34
MixedShapesSmallTrain,312.15,145.12,97.26,2018.73
MoteStrain,13.14,1.12,12.34,11.23
NonInvasiveFetalECGThorax1,353.99,4554.69,134.21,
NonInvasiveFetalECGThorax2,352.73,4034.33,130.72,
OliveOil,4.55,19.71,1.27,47.26
OSULeaf,23.49,70.87,12.31,12.09
PhalangesOutlinesCorrect,29.27,163.72,33.45,29.68
Phoneme,263.86,919.07,242.98,1374.63
PigAirwayPressure,78.02,472.17,37.83,392.54
PigArtPressure,77.93,744.75,37.16,425.06
PigCVP,77.9,695.94,59,386.74
Plane,4.08,6.93,2.78,6.7
PowerCons,6.74,5.96,6.04,9.11
ProximalPhalanxOutlineAgeGroup,6.72,19.22,5.42,6.87
ProximalPhalanxOutlineCorrect,9.64,26.29,8,9.71
ProximalPhalanxTW,6.65,21.17,5.4,7.12
RefrigerationDevices,67.45,207.01,40.97,232
Rock,25.13,45.57,7.52,121.15
ScreenType,67.58,239.36,25.83,160.59
SemgHandGenderCh2,168.74,295.35,216.23,886.39
SemgHandMovementCh2,169.67,1616.89,212.56,908.12
SemgHandSubjectCh2,170.61,1200.69,212.51,909.59
ShapeletSim,12.34,4.74,21.21,25.58
ShapesAll,77.05,911.73,33.74,355.02
SmallKitchenAppliances,67.67,93.9,12.76,181.87
SmoothSubspace,1.01,0.38,1.53,
SonyAIBORobotSurface1,5.6,0.53,7.67,5.29
SonyAIBORobotSurface2,7.99,0.68,12.03,6.78
StarLightCurves,1146.24,686.43,176.34,
Strawberry,29.2,31.57,14.81,51.4
SwedishLeaf,18.39,65.1,14.59,27.14
Symbols,49.01,10.9,19,204.29
SyntheticControl,5.08,6.22,8.96,2.65
ToeSegmentation1,9.24,3.36,7.73,16.36
ToeSegmentation2,7.27,3.34,4.74,13
Trace,7.17,10.5,5.04,13.56
TwoLeadECG,11.79,1.11,10.01,11.92
TwoPatterns,78.78,138.25,99.06,147.17
UMD,3.56,4.08,2.57,5.75
UWaveGestureLibraryAll,519.47,1518.1,174.84,2196.62
UWaveGestureLibraryX,171.8,582.92,57.87,549.51
UWaveGestureLibraryY,170.72,665.08,55.5,540.33
UWaveGestureLibraryZ,171.87,596.45,59.95,552.78
Wafer,132.07,16.7,68.25,232.25
Wine,3.53,5.09,1.44,5.66
WordSynonyms,30.07,126.98,11.55,84.5
Worms,29.6,130.62,16.68,107.26
WormsTwoClass,29.92,50.52,16.7,102.96
Yoga,169.23,79.91,62.23,640.85
